Purchase Order Number,Vendor Name,Department,Address,Shipment ID,Load Number,Assigned SCAC,Executing SCAC,PRO,Trip ID,Truck Load Optimization Reference ID,Status,Destination,Pickup Date,In Yard Goal Date,Final Routing Expected By,Cartons,Weight,Cube,Pallet Spaces,Commodity,bol,Appointment Number,Created By,Review By Date,Last Updated By
10001880948,"Built Brands, LLC",94,"600 E. Quality Dr, American Fork, UT US 84003 ",SIQ14872254,,,,,,,Content Review Required,3811,,2026-06-01,,19,67,6,0.05,,,,SYSTEM,2026-05-13 23:59:00,
10001880948,"Built Brands, LLC",94,"600 E. Quality Dr, American Fork, UT US 84003 ",SIQ14872253,,,,,,,Content Review Required,3804,,2026-05-31,,19,67,6,0.05,,,,SYSTEM,2026-05-13 23:59:00,
10001880948,"Built Brands, LLC",94,"600 E. Quality Dr, American Fork, UT US 84003 ",SIQ14872252,,,,,,,Content Review Required,3803,,2026-05-27,,9,32,3,0.03,,,,SYSTEM,2026-05-13 23:59:00,
10001880948,"Built Brands, LLC",94,"600 E. Quality Dr, American Fork, UT US 84003 ",SIQ14872251,,,,,,,Content Review Required,590,,2026-05-30,,6,21,2,0.02,,,,SYSTEM,2026-05-13 23:59:00,
10001880948,"Built Brands, LLC",94,"600 E. Quality Dr, American Fork, UT US 84003 ",SIQ14872250,,,,,,,Content Review Required,3802,,2026-06-04,,17,60,6,0.04,,,,SYSTEM,2026-05-13 23:59:00,
10001880948,"Built Brands, LLC",94,"600 E. Quality Dr, American Fork, UT US 84003 ",SIQ14872249,,,,,,,Content Review Required,589,,2026-06-01,,1,4,1,0.01,,,,SYSTEM,2026-05-13 23:59:00,
10001880948,"Built Brands, LLC",94,"600 E. Quality Dr, American Fork, UT US 84003 ",SIQ14872248,,,,,,,Content Review Required,587,,2026-05-29,,41,144,13,0.1,,,,SYSTEM,2026-05-13 23:59:00,
10001880948,"Built Brands, LLC",94,"600 E. Quality Dr, American Fork, UT US 84003 ",SIQ14872247,,,,,,,Content Review Required,594,,2026-05-31,,29,102,9,0.07,,,,SYSTEM,2026-05-13 23:59:00,
10001880948,"Built Brands, LLC",94,"600 E. Quality Dr, American Fork, UT US 84003 ",SIQ14872246,,,,,,,Content Review Required,593,,2026-05-25,,14,49,5,0.04,,,,SYSTEM,2026-05-13 23:59:00,
10001880948,"Built Brands, LLC",94,"600 E. Quality Dr, American Fork, UT US 84003 ",SIQ14872245,,,,,,,Content Review Required,560,,2026-06-01,,27,95,9,0.07,,,,SYSTEM,2026-05-13 23:59:00,
10001880948,"Built Brands, LLC",94,"600 E. Quality Dr, American Fork, UT US 84003 ",SIQ14872244,,,,,,,Content Review Required,579,,2026-06-04,,75,263,23,0.17,,,,SYSTEM,2026-05-13 23:59:00,
10001880948,"Built Brands, LLC",94,"600 E. Quality Dr, American Fork, UT US 84003 ",SIQ14872243,,,,,,,Content Review Required,559,,2026-05-29,,17,60,6,0.04,,,,SYSTEM,2026-05-13 23:59:00,
10001880948,"Built Brands, LLC",94,"600 E. Quality Dr, American Fork, UT US 84003 ",SIQ14872242,,,,,,,Content Review Required,557,,2026-05-28,,19,67,6,0.05,,,,SYSTEM,2026-05-13 23:59:00,
10001880948,"Built Brands, LLC",94,"600 E. Quality Dr, American Fork, UT US 84003 ",SIQ14872241,,,,,,,Content Review Required,580,,2026-05-29,,14,49,5,0.04,,,,SYSTEM,2026-05-13 23:59:00,
10001880948,"Built Brands, LLC",94,"600 E. Quality Dr, American Fork, UT US 84003 ",SIQ14872240,,,,,,,Content Review Required,555,,2026-05-25,,34,119,11,0.08,,,,SYSTEM,2026-05-13 23:59:00,
10001880948,"Built Brands, LLC",94,"600 E. Quality Dr, American Fork, UT US 84003 ",SIQ14872239,,,,,,,Content Review Required,551,,2026-06-03,,11,39,4,0.03,,,,SYSTEM,2026-05-13 23:59:00,
10001880948,"Built Brands, LLC",94,"600 E. Quality Dr, American Fork, UT US 84003 ",SIQ14872238,,,,,,,Content Review Required,556,,2026-05-31,,3,11,1,0.01,,,,SYSTEM,2026-05-13 23:59:00,
10001880948,"Built Brands, LLC",94,"600 E. Quality Dr, American Fork, UT US 84003 ",SIQ14872237,,,,,,,Content Review Required,558,,2026-05-28,,12,42,4,0.03,,,,SYSTEM,2026-05-13 23:59:00,
10001880948,"Built Brands, LLC",94,"600 E. Quality Dr, American Fork, UT US 84003 ",SIQ14872236,,,,,,,Content Review Required,554,,2026-05-26,,8,28,3,0.02,,,,SYSTEM,2026-05-13 23:59:00,
10001879470,"Built Brands, LLC",71,"600 E. Quality Dr, American Fork, UT US 84003 ",SIQ14856194,,,,,,,Content Review Required,3856,,2026-05-25,,459,1361,94,0.7,,,,SYSTEM,2026-05-13 23:59:00,
10001879470,"Built Brands, LLC",71,"600 E. Quality Dr, American Fork, UT US 84003 ",SIQ14856193,,,,,,,Content Review Required,3868,,2026-05-29,,15,45,3,0.03,,,,SYSTEM,2026-05-13 23:59:00,
10001879470,"Built Brands, LLC",71,"600 E. Quality Dr, American Fork, UT US 84003 ",SIQ14856192,,,,,,,Content Review Required,579,,2026-06-04,,243,661,47,0.35,,,,SYSTEM,2026-05-13 23:59:00,
10001879470,"Built Brands, LLC",71,"600 E. Quality Dr, American Fork, UT US 84003 ",SIQ14856191,,,,,,,Content Review Required,3865,,2026-05-28,,57,169,12,0.09,,,,SYSTEM,2026-05-13 23:59:00,
10001879470,"Built Brands, LLC",71,"600 E. Quality Dr, American Fork, UT US 84003 ",SIQ14856190,,,,,,,Content Review Required,578,,2026-05-28,,131,369,26,0.2,,,,SYSTEM,2026-05-13 23:59:00,
10001879470,"Built Brands, LLC",71,"600 E. Quality Dr, American Fork, UT US 84003 ",SIQ14856189,,,,,,,Content Review Required,587,,2026-05-29,,30,94,7,0.05,,,,SYSTEM,2026-05-13 23:59:00,
10001879470,"Built Brands, LLC",71,"600 E. Quality Dr, American Fork, UT US 84003 ",SIQ14856188,,,,,,,Content Review Required,3808,,2026-05-30,,152,517,34,0.26,,,,SYSTEM,2026-05-13 23:59:00,
10001879470,"Built Brands, LLC",71,"600 E. Quality Dr, American Fork, UT US 84003 ",SIQ14856187,,,,,,,Content Review Required,3811,,2026-06-01,,13,115,8,0.06,,,,SYSTEM,2026-05-13 23:59:00,
10001879470,"Built Brands, LLC",71,"600 E. Quality Dr, American Fork, UT US 84003 ",SIQ14856186,,,,,,,Content Review Required,3806,,2026-05-25,,415,1169,79,0.59,,,,SYSTEM,2026-05-13 23:59:00,
10001879470,"Built Brands, LLC",71,"600 E. Quality Dr, American Fork, UT US 84003 ",SIQ14856185,,,,,,,Content Review Required,3803,,2026-05-27,,302,861,58,0.43,,,,SYSTEM,2026-05-13 23:59:00,
10001879470,"Built Brands, LLC",71,"600 E. Quality Dr, American Fork, UT US 84003 ",SIQ14856184,,,,,,,Content Review Required,3804,,2026-05-31,,259,721,50,0.37,,,,SYSTEM,2026-05-13 23:59:00,
10001879470,"Built Brands, LLC",71,"600 E. Quality Dr, American Fork, UT US 84003 ",SIQ14856183,,,,,,,Content Review Required,594,,2026-05-31,,10,79,6,0.04,,,,SYSTEM,2026-05-13 23:59:00,
10001879470,"Built Brands, LLC",71,"600 E. Quality Dr, American Fork, UT US 84003 ",SIQ14856182,,,,,,,Content Review Required,3802,,2026-06-04,,705,2013,139,1.04,,,,SYSTEM,2026-05-13 23:59:00,
10001879470,"Built Brands, LLC",71,"600 E. Quality Dr, American Fork, UT US 84003 ",SIQ14856181,,,,,,,Content Review Required,3801,,2026-05-28,,104,315,22,0.16,,,,SYSTEM,2026-05-13 23:59:00,
10001879470,"Built Brands, LLC",71,"600 E. Quality Dr, American Fork, UT US 84003 ",SIQ14856180,,,,,,,Content Review Required,593,,2026-05-25,,504,1432,97,0.73,,,,SYSTEM,2026-05-13 23:59:00,
10001879470,"Built Brands, LLC",71,"600 E. Quality Dr, American Fork, UT US 84003 ",SIQ14856179,,,,,,,Content Review Required,559,,2026-05-29,,399,1120,76,0.57,,,,SYSTEM,2026-05-13 23:59:00,
10001879470,"Built Brands, LLC",71,"600 E. Quality Dr, American Fork, UT US 84003 ",SIQ14856178,,,,,,,Content Review Required,589,,2026-06-01,,249,723,49,0.36,,,,SYSTEM,2026-05-13 23:59:00,
10001879470,"Built Brands, LLC",71,"600 E. Quality Dr, American Fork, UT US 84003 ",SIQ14856177,,,,,,,Content Review Required,590,,2026-05-30,,361,1038,74,0.55,,,,SYSTEM,2026-05-13 23:59:00,
10001879470,"Built Brands, LLC",71,"600 E. Quality Dr, American Fork, UT US 84003 ",SIQ14856176,,,,,,,Content Review Required,588,,2026-05-25,,531,1501,101,0.76,,,,SYSTEM,2026-05-13 23:59:00,
10001879470,"Built Brands, LLC",71,"600 E. Quality Dr, American Fork, UT US 84003 ",SIQ14856175,,,,,,,Content Review Required,556,,2026-05-31,,50,211,14,0.11,,,,SYSTEM,2026-05-13 23:59:00,
